Acronym,Authors,Year,LongDescription,Journal,Detailed.Definition
PctAcc,"Hafzalla, Lundholm, Van Winkle",2011,Percent Operating Accruals,AR,"Income before extraordinary items (ib) minus net cash flow (oancf) divided by absolute value of ib. If oancf is missing, PctAcc is defined as ( (act - act$_{t-12}$) - (che - che$_{t-12}$) - (  (lct - lct$_{t-12}$) - (dlc - dlc$_{t-12}$) - (txp - txp$_{t-12}$) - dp ) )/abs(ib). In either case, if ib is equal to 0, divide by .01 instead. Exclude if price less than 5."
Price,Blume and Husic,1972,Price,JF,Log of absolute value of price (prc).
PriceDelayRsq,Hou and Moskowitz,2005,Price delay r square,RFS,"Each July regress stock return on day $t$ on market return in $t, t-1, \ldots, t-4$ using observations from July 1 of the previous year to June 30 of the current year.  Then regress again with no market return lags.  PriceDelay Rsq = 1 - [Rsq from second regression]/[Rsq from first regression]"
PriceDelaySlope,Hou and Moskowitz,2005,Price delay coeff,RFS,"Each July regress daily stock return (ret) on market return (mktrf) in $t, t-1, \ldots, t-4$ with observations over the previous year. Define PriceDelaySlope as the ratio of ]1*beta on mktrf$_t-1$ + 2*beta on mktrf$_t-2$ + 3*beta on mktrf$_t-3$ + 4*beta on mktrf$_t-4$], and [beta on mktrf$_t$ + beta on mktrf$_t-1$ + beta on mktrf$_t-2$ + beta on mktrf$_t-3$ + beta on mktrf$_t-4$]."
PriceDelayTstat,Hou and Moskowitz,2005,Price delay SE adjusted,RFS,"Each July regress daily stock return (ret) on market return (mktrf) in $t, t-1, \ldots, t-4$ using observations from July 1 of the previous year to June 30 of the current year.  Trim the highest and lowest 1% of estimated coefficients, standard errors, and t-stats. Define PriceDelayTstat as the ratio of [1*tstat on mktrf$_t-1$ + 2*tstat on mktrf$_t-2$ + 3*tstat on mktrf$_t-3$ + 4*tstat on mktrf$_t-4$], and [tstat on mktrf$_t$ + tstat on mktrf$_t-1$ + tstat on mktrf$_t-2$ + tstat on mktrf$_t-3$ + tstat on mktrf$_t-4$].   Finally winsor the extreme 10 and 90 percentiles each month."
PS,Piotroski,2000,Piotroski F-score,AR,Sum of nine indicator variables which are: 1 if net income (ib) greater 0; 1 if net cash flow (oancf) greater 0; 1 if return on assets (ib/at) increased relative to previous year; 1 if net cash flow greater net income; 1 if long-term debt to assets (dltt/at) declined over the previous year;  if current assets to current liabilities (act/lct) increased over the previous year; 1 if ebit/sale (ebit = ib + txt + xint) increased over the previous year; 1 if revenue to assets increased over the previous year; 1 if shrout $\leq$ shrout last year. Include highest quintile of book-to-market only.  Exclude if missing any of the input variables.
RD,"Chan, Lakonishok and Sougiannis",2001,R&D over market cap,JF,R&D expense (xrd) over market value of equity.
RDAbility,"Cohen, Diether and Malloy",2013,R&D ability,RFS,"Regress log of sales growth (sale over sale in previous year) on log of (1+ xrd/sale) in 5 bivariate regressions with (1+xrd/sale) lagged by $1, \ldots, 5$ years. Run regressions over previous 8 years and require at least 6 non-missing observations. Also require at least half of past research and development observations to be non-zero. RDAbility is the mean of the coefficients on the five lags of log(1+xrd/sale). Set to missing if firm is not in the highest tercile of xrd/sale in a year or if reseach and development expenses are non-positive."
RDcap,Li,2011,R&D capital-to-assets,RFS,R&D capital to assets is the weighted sum of lagged R&D expenditures scaled by the assets (at). We replace xrd with 0 if xrd is missing and compute the numerator as $xrd_t + .8 xrd_{t-1}+ .6xrd_{t-2} + .4 xrd_{t-3} + .2 xrd_{t-4}$. Replace RDcap with missing before  1980 or if firm is in upper two thirds of market cap (shrout*abs(prc)) distribution in a month.
RDIPO,"Gou, Lev and Shi",2006,IPO and no R&D spending,JBFA,Binary variable equal to 1 if R&D expense (xrd) = 0 and IndIPO = 1.  0 otherwise.
RDS,Landsman et al.,2011,Real dirty surplus,AR,"Define Dirty Surplus as annual change in marketable securities adjustment msa plus annual change in retained earnings adjustment (recta) + .65 times the annual change in min(Unrecognized prior service cost (pcupsu) - Pension additional minimum liability (paddml),0). Real dirty surplus is the annual change in book equity (ceq) minus dirty surplus minus (net income (ni) minus dividends preferred (dvp)) + dividends (divamt) - end-of-fiscal-year-stock-price (prcc\_f)*annual change in common shares outstanding (csho)."
realestate,Tuzel,2010,Real estate holdings,RFS,"Industry-adjusted value of real estate holdings. Real estate holdings are (fatb+fatl)/ppegt if available, and (ppenb+ppenl)/ppent otherwise.  Drop firms in 2 digit sics with < 5 firm or missing at or missing both ppent and ppegt. Subtract monthly industry-mean at the 2 digit SIC level."
ResidualMomentum,"Blitz, Huij and Martens",2011,Momentum based on FF3 residuals,JEmpFin,"Run a rolling regression over 36 months of excess return (retrf) on excess market return (mktrf), size and value factors (smb, hml) and compute idiosyncratic returns as the one-month lagged residual. ResidualMomentum is the rolling mean of the residual divided by the rolling standard deviation of the residual, both computed over the past 11 months."
ReturnSkew,"Bali, Engle and Murray",2015,Return skewness,Book,Skewness of daily returns (ret) over previous month.
ReturnSkew3F,"Bali, Engle and Murray",2015,Idiosyncratic skewness (3F model),Book,"Skewness of idiosyncratic returns computed as residuals from regression of daily excess returns (ret - rf) on Fama-French factors (mktrf, smb, hml) over the previous month. We require at least 15 non-missing observations."
REV6,"Chan, Jegadeesh and Lakonishok",1996,Earnings forecast revisions,JF,"Define revisions as the change in the mean earnings estimate (meanest) for the next quarter from month t-1 to t, scaled by stock price in month t-1. REV6 is the sum of that variable from months t-6 to t."
RevenueSurprise,Jegadeesh and Livnat,2006,Revenue Surprise,JFE,Define revenue per share as quarterly revenue (revtq) divided by quarterly common shares outstanding (cshprq). RevenueSurprise is the 4-quarter change in revenue per share minus the average 4-quarter change in revenue per share over the previous 2 years. RevenueSurprise is scaled by its standard deviation over the previous 2 years. Exclude if price less than 5.
RIO_Disp,Nagel,2005,Inst Own and Forecast Dispersion,JF,"Follow RIO\_MB, except define Disp as the stdev of IBES forecasts where fpi == 1 divided by at, and sort on Disp instead of MB.  Finally, let RIO\_Disp = lagged RIO quntile if the Disp quintile >= 4."
RIO_MB,Nagel,2005,Inst Own and Market to Book,JF,"Residual institutional ownership (RIO) is defined as log(institutional ownership (instown\_perc)/(1-institutional ownership)) + 23.6 - 2.89*log(market value of equity) +.08*log(market value of equity)$^2$. Replace instown\_perc with 0 if it is missing, with .9999 if it's above .9999, and with .0001 if it's below .0001. Then lag RIO by 6 months.  Keep only stocks with size > 20th percentile across exchcd == 1 or 2.  Define MB as market cap / (ceq + txditc), where txditc = 0 if missing, and MB is replaced with missing if ceq < 0.  Then sort into quintiles based on the lagged RIO, and sort into quintiles based on MB.  Finally, let RIO\_MB = lagged RIO quintile if the MB quintile = 5."
RIO_Turnover,Nagel,2005,Inst Own and Turnover,JF,"Follow RIO\_MB, except define turnover as vol/shrout.  Let RIO\_Turnover = lagged RIO quintile if the Volatility quintile == 5"
RIO_Volatility,Nagel,2005,Inst Own and Idio Vol,JF,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5"
roaq,"Balakrishnan, Bartov and Faurel",2010,Return on assets (qtrly),JAE,Quarterly net income (ibq) divided by lagged total assets (atq).
RoE,Haugen and Baker,1996,net income / book equity,JFE,Net income (ni) over book value of equity (ceq). Exclude if price less than 5.
sfe,"Elgers, Lo and Pfeiffer",2001,Earnings Forecast to price,AR,"Median estimate for next year eps (fpi = 1) in March, divided by stock price from December.  Dec fiscal year ends only, keep only forecasts more than 90 days out.  Keep only below median analyst coverage each month."
ShareIss1Y,Pontiff and Woodgate,2008,Share issuance (1 year),JF,Growth in number of shares between t-18 and t-6. Number of shares is calculated as shrout/cfacshr to adjust for splits.
ShareIss5Y,Daniel and Titman,2006,Share issuance (5 year),JF,5-year growth in number of shares. Number of shares is calculated as shrout/cfacshr to adjust for splits.
ShareRepurchase,"Ikenberry, Lakonishok, Vermaelen",1995,Share repurchases,JFE,"Binary variable equal to 1 if stock repurchase indicated in cash flow statement (prstkc > 0), and 0 if prstkc = 0."
ShareVol,"Datar, Naik and Radcliffe",1998,Share Volume,JFM,"Let tempvol = sum of monthly share trading volume (vol) over the previous three months, scaled by 3 times common shares outstanding (shrout).  Let ShareVol = 1 if tempvol > 10%, and ShareVol = 0 if tempvol < 5%."
ShortInterest,Dechow et al.,2001,Short Interest,JFE,"Short-interest from Compustat (shortint) scaled by shares outstanding (shrout). Short-interest data are available bi-weekly with a four day lag. We use the mid-month observation to make sure data would be available in real time.  OP uses Asquith and Meulbroek's database, which covers all of NYSE and AMEX.  We're unsure of the quality of our Compustat data, especially since it is missing many values pre-2003.  However, the missing pre-2003 is mostly NASDAQ.  According to Rapach, Ringgenberg, and Zhou 2016, Compustat added the short interest to their dataset in 2014.  "
sinAlgo,Hong and Kacperczyk,2009,Sin Stock (selection criteria),JFE,"Using Compustat Segment data, sinAlgo is defined as a binary variable equal to 1 if at least one segment of a firm is listed as being in at least one of the following industries: sic $\geq$ 2100 & sic $\leq$ 2199, sic $\geq$2080 & sic $\leq$ 2085, NAICS in \{7132, 71312, 713210, 71329, 713290, 72112, 721120\}. As in the original paper, we assume that the sin stock indicator applies to the entire history and future of the identified firm. sinAlgo is equal to 0 if the firm is not identified in the CS Segment data as a sin stock and if the firm is in one of the following industries: (sic $\geq$ 2000 & sic $\leq$ 2046) OR (sic $\geq$ 2050 & sic $\leq$ 2063) OR (sic $\geq$ 2070 & sic $\leq$ 2079) OR (sic $\geq$ 2090 & sic $\leq$ 2092) OR (sic $\geq$ 2095 & sic $\leq$ 2099) OR (sic $\geq$ 2064 & sic $\leq$ 2068) OR (sic $\geq$ 2086 & sic $\leq$ 2087) OR (sic $\geq$  920 & sic $\leq$  999) OR (sic $\geq$ 3650 & sic $\leq$ 3652) OR sic == 3732 OR  (sic $\geq$ 3931 & sic $\leq$ 3932) OR (sic $\geq$ 3940 & sic $\leq$ 3949) OR
 (sic $\geq$ 7800 & sic $\leq$ 7833) OR (sic $\geq$ 7840 & sic $\leq$ 7841) OR
 (sic $\geq$ 7900 & sic $\leq$ 7911) OR (sic $\geq$ 7920 & sic $\leq$ 7933) OR
(sic $\geq$ 7940 & sic $\leq$ 7949) OR sic $==$ 7980 OR (sic $\geq$ 7990 & sic $\leq$ 7999)"
Size,Banz,1981,Size,JFE,Log of monthly market value of equity (abs(prc)*shrout)).
SP,"Barbee, Mukherji and Raines",1996,Sales-to-price,FAJ,Ratio of annual sales (sale) to market value of equity.
Spinoff,"Cusatis, Miles and Woolridge",1993,Spinoffs,JFE,Spinoffs are identified as all observations in the CRSP acquisition file with valid acperm entry. Spinoff is a binary variable equal to 1 if a firm is identified in the CRSP Acquisition data and if it has at most two years of history in the CRSP stock return data. Spinoff is equal to 0 otherwise.
std_turn,"Chordia, Subra, Anshuman",2001,Share turnover volatility,JFE,Standard deviation of turnover (vol/shrout) over the past 36 months.
STreversal,Jegadeesh,1989,Short term reversal,JF,Stock return (ret) over the previous month.
SurpriseRD,"Eberhart, Maxwell and Siddique",2004,Unexpected R&D increase,JF,"Binary variable equal to 1 if: R&D (xrd) scaled by revenue (revt) is positive, R&D scaled by total assets (at) is positive, annual R&D growth is greater than 5%, annual growth in R&D over total assets is greater than 5%. SurpriseRD is 0 otherwise."
tang,Hahn and Lee,2009,Tangibility,JF,"Cash and short-term investments (che) plus .715*receivables (rect) + .547*inventory (invt) + .535* property, plant and equipment (ppent), scaled by total assets (at). Only defined for manufacturing firms (SIC $\geq$ 2000 and SIC <4000). Exclude the lowest tercile of manufacturing firms by total assets."
Tax,Lev and Nissim,2004,Taxable income to income,AR,"Ratio of Taxes paid and tax share of net income. Numerator is defined as the sum of foreign (txfo) and federal (txfed) income taxes. If either one is missing, numerator is defined as total taxes (txt) minus deferred taxes (txdi). Denominator is the product of the prevailing tax rate and net income (ib). Tax rate is .48 before 1979, .46 from 1979 to 1986, .4 in 1987, .34 between 1988 and 1992 and .35 from 1993 onwards. If net income is negative, and the numerator is positive, tax is defined as 1. Exclude if price less than 5."
TotalAccruals,Richardson et al.,2005,Total accruals,JAE,"Before 1988: Change in net working capital ((act - che) - (lct - dlc)) plus change in net noncurrent assets ( (at - act - ivao) - (lt - dlc - dltt)) plus change in net financial assets ( (ivst + ivao - (dltt + dlc + pstk)). Starting in 1988: net income (ni) minus total, operating and investment cashflows (oancf, ivncf, fincf) plus stock sales minus repurchases and dividends (sstk, prstkc, dv)). Scaled by lagged total assets (at). Replace missings in ivao, ivst, dltt, dlc, pstk sstk, prstkc, dv with 0."
TrendFactor,"Han, Zhou, Zhu",2016,Trend Factor,JFE,See paper section 2.1 and 2.2
VarCF,Haugen and Baker,1996,Cash-flow  to price variance,JFE,Rolling variance of (ib+dp)/mve\_c over the past 60 months (minimum 24 months data required).
VolMkt,Haugen and Baker,1996,Volume to market equity,JFE,"Average monthly dollar trading volume (vol*abs(prc)) over the previous 12 months, scaled by market value of equity. Exclude if price less than 5."
VolSD,"Chordia, Subra, Anshuman",2001,Volume Variance,JFE,Rolling standard deviation of monthly trading volume (vol) over the past 36 months (require at least 24 observations). Include only NYSE stocks.
VolumeTrend,Haugen and Baker,1996,Volume Trend,JFE,Rolling coefficient from regressing monthly trading volume on a linear time trend over a window of 60 months (require that at least 30 exist). Scale coefficient by 60-month average of trading volume.
XFIN,"Bradshaw, Richardson, Sloan",2006,Net external financing,JAE,Sale of common stock (sstk) minus dividends (dv) minus purchase of common stock (prstkc) plus long-term debt issuance (dltis) minus long-term debt reductions (dltr). Scaled by total assets (at).
zerotrade,Liu,2006,Days with zero trades,JFE,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Zerotrade is the 6-month average of that variable."
zerotradeAlt1,Liu,2006,Days with zero trades,JFE,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Take 1-month average."
zerotradeAlt12,Liu,2006,Days with zero trades,JFE,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Take 12-month average."
