Acronym,Authors,Year,LongDescription,Journal,Detailed Definition
OrgCap,Eisfeldt and Papanikolaou,2013,Organizational capital,JF,"Defined recursively. Set xsga to 0 if missing.  Initialize with OrgCap = 4*general expenses (xsga) in the first year, and calculate as .85*OrgCap previous year + xsga/gnpdeflator current year thereafter. Scale by total assets (at).  Keep only december year ends, and non-financials, and non-missing sic code.  Then winsoriz at the 1% level and standardized by subtracting the same month within-industry mean (Fama French 17 industries) and dividing by the same month within industry standard deviation of OrgCap."
OScore,Dichev,1998,O Score,JFE,"OScore = -1.32 - .407*log(at/GNP deflator) + 6.03*(lt/at) - 1.43*( (act - lct)/at) + .076*(lct/act) - 1.72*I(lt > at) - 2.37*(ib/at) - 1.83*(fopt/lt) + .285*(ib + ib$_{t-12}$ + ib$_{t-24}$ < 0) -  .521*( (ib - ib$_{t-12}$)/(abs(ib) + .abs(ib$_{t-12}$)) ). fopt = oancf if fopt is missing.  Exclude Exclude if SIC code between 3999 and 4999, or greater than 5999. Exclude if price less than 5.  Then exclude if OScore is in bottom quintile of OScore (original paper shows non-monotonic returns, as does our replication)"
PatentsRD,"Hirschleifer, Hsu and Li",2013,Patents to RD expenses,JFE,"Drop obs before 1975.  Set expenses for research and development (xrd) and number of patents (npat)  to 0 if missing. Calculate Patents to RD as patents in a year divided by $xrd_{t-2} + .8 xrd_{t-3} + .6 xrd_{t-4} + .4xrd_{t-5} + .2 xrd_{t-6}$. Drop if denominator = 0,  2 years or less in Compustat, sic in 6000s, ceq < 0.  Double independent sort using (a) size NYSE median (b) terciles of Patents to RD.  Long if in small size, highest tercile of Patents to RD, short if in small size, smallest tercile."
PayoutYield,Boudoukh et al.,2007,Payout Yield,JF,"Sum of dividends (dvc), purchase of common and preferred stock (prstkc) and max(preferred stock redemption value (pstkrv), 0) over market value of equity lagged 6 months.  Exclude if PayoutYield $\leq$ 0, financial firm based on SIC code, ceq <= 0, or less than 2 years in CRSP"
PctAcc,"Hafzalla, Lundholm, Van Winkle",2011,Percent Operating Accruals,AR,"Income before extraordinary items (ib) minus net cash flow (oancf) divided by absolute value of ib. If oancf is missing, PctAcc is defined as ( (act - act$_{t-12}$) - (che - che$_{t-12}$) - (  (lct - lct$_{t-12}$) - (dlc - dlc$_{t-12}$) - (txp - txp$_{t-12}$) - dp ) )/abs(ib). In either case, if ib is equal to 0, divide by .01 instead. Exclude if price less than 5."
PctTotAcc,"Hafzalla, Lundholm, Van Winkle",2011,Percent Total Accruals,AR,"Net income (ni) minus (purchase of common and preferred stock (prstkcc) minus sale of common and preferred stock (sstk) plus dividends (dvt), cash flow from operations (oancf), from financing (fincf) and investment (ivncf)). Scaled by absolute value of net income."
Price,Blume and Husic,1972,Price,JF,Log of absolute value of price (prc).
PriceDelayRsq,Hou and Moskowitz,2005,Price delay r square,RFS,"Each July regress stock return on day $t$ on market return in $t, t-1, \ldots, t-4$ using observations from July 1 of the previous year to June 30 of the current year.  Then regress again with no market return lags.  PriceDelay Rsq = 1 - [Rsq from second regression]/[Rsq from first regression]"
PS,Piotroski,2000,Piotroski F-score,AR,Sum of nine indicator variables which are: 1 if net income (ib) greater 0; 1 if net cash flow (oancf) greater 0; 1 if return on assets (ib/at) increased relative to previous year; 1 if net cash flow greater net income; 1 if long-term debt to assets (dltt/at) declined over the previous year;  if current assets to current liabilities (act/lct) increased over the previous year; 1 if ebit/sale (ebit = ib + txt + xint) increased over the previous year; 1 if revenue to assets increased over the previous year; 1 if shrout $\leq$ shrout last year. Include highest quintile of book-to-market only.  Exclude if missing any of the input variables.
RD,"Chan, Lakonishok and Sougiannis",2001,R&D over market cap,JF,R&D expense (xrd) over market value of equity.
RDAbility,"Cohen, Diether and Malloy",2013,R&D ability,RFS,"Regress log of sales growth (sale over sale in previous year) on log of (1+ xrd/sale) in 5 bivariate regressions with (1+xrd/sale) lagged by $1, \ldots, 5$ years. Run regressions over previous 8 years and require at least 6 non-missing observations. Also require at least half of past research and development observations to be non-zero. RDAbility is the mean of the coefficients on the five lags of log(1+xrd/sale). Set to missing if firm is not in the highest tercile of xrd/sale in a year or if reseach and development expenses are non-positive."
RDcap,Li,2011,R&D capital-to-assets,RFS,R&D capital to assets is the weighted sum of lagged R&D expenditures scaled by the assets (at). We replace xrd with 0 if xrd is missing and compute the numerator as $xrd_t + .8 xrd_{t-1}+ .6xrd_{t-2} + .4 xrd_{t-3} + .2 xrd_{t-4}$. Replace RDcap with missing before  1980 or if firm is in upper two thirds of market cap (shrout*abs(prc)) distribution in a month.
RDIPO,"Gou, Lev and Shi",2006,IPO and no R&D spending,JBFA,Binary variable equal to 1 if R&D expense (xrd) = 0 and IndIPO = 1.  0 otherwise.
RDS,Landsman et al.,2011,Real dirty surplus,AR,"Define Dirty Surplus as annual change in marketable securities adjustment msa plus annual change in retained earnings adjustment (recta) + .65 times the annual change in min(Unrecognized prior service cost (pcupsu) - Pension additional minimum liability (paddml),0). Real dirty surplus is the annual change in book equity (ceq) minus dirty surplus minus (net income (ni) minus dividends preferred (dvp)) + dividends (divamt) - end-of-fiscal-year-stock-price (prcc\_f)*annual change in common shares outstanding (csho)."
Recomm_ShortInterest,"Drake, Rees and Swanson",2011,Analyst Recommendations and Short-Interest,AR,"Go long firms in lowest quintile of short interest (shortint/shrout) and lowest quintile of analyst recommendations (monthly consensus recommendation using the most recent analyst recommendation in the past 12 months). Go short firms in highest quintile of short interest and highest quintile of analyst recommendations.  There may be issues with our use of Compustat Short Interest data, rather than exchange-purchased data used by the OP.  See note for the shortinterest signal."
ResidualMomentum,"Blitz, Huij and Martens",2011,Momentum based on FF3 residuals,JEmpFin,"Run a rolling regression over 36 months of excess return (retrf) on excess market return (mktrf), size and value factors (smb, hml) and compute idiosyncratic returns as the one-month lagged residual. ResidualMomentum is the rolling mean of the residual divided by the rolling standard deviation of the residual, both computed over the past 11 months."
retConglomerate,Cohen and Lou,2012,Conglomerate return,JFE,"Identify conglomerate firms as those with multiple OPSEG or BUSSEG entries in the Compustat segment data (and require that at least 80% of firm's total assets are covered by segment data). Compute monthly stock return at the 2-digit SIC level for stand-alone (non-conglomerate) firms only, and match those returns to conglomerates' segments. Compute weighted conglomerate return as the industry return of stand-alone companies, weighted with a conglomerate's total sales in each industry."
ReturnSkew,"Bali, Engle and Murray",2015,Return skewness,Book,Skewness of daily returns (ret) over previous month.
ReturnSkew3F,"Bali, Engle and Murray",2015,Idiosyncratic skewness (3F model),Book,"Skewness of idiosyncratic returns computed as residuals from regression of daily excess returns (ret - rf) on Fama-French factors (mktrf, smb, hml) over the previous month. We require at least 15 non-missing observations."
REV6,"Chan, Jegadeesh and Lakonishok",1996,Earnings forecast revisions,JF,"Define revisions as the change in the mean earnings estimate (meanest) for the next quarter from month t-1 to t, scaled by stock price in month t-1. REV6 is the sum of that variable from months t-6 to t."
RevenueSurprise,Jegadeesh and Livnat,2006,Revenue Surprise,JFE,Define revenue per share as quarterly revenue (revtq) divided by quarterly common shares outstanding (cshprq). RevenueSurprise is the 4-quarter change in revenue per share minus the average 4-quarter change in revenue per share over the previous 2 years. RevenueSurprise is scaled by its standard deviation over the previous 2 years. Exclude if price less than 5.
RIO_Disp,Nagel,2005,Inst Own and Forecast Dispersion,JF,"Follow RIO\_MB, except define Disp as the stdev of IBES forecasts where fpi == 1 divided by at, and sort on Disp instead of MB.  Finally, let RIO\_Disp = lagged RIO quntile if the Disp quintile >= 4."
RIO_MB,Nagel,2005,Inst Own and Market to Book,JF,"Residual institutional ownership (RIO) is defined as log(institutional ownership (instown\_perc)/(1-institutional ownership)) + 23.6 - 2.89*log(market value of equity) +.08*log(market value of equity)$^2$. Replace instown\_perc with 0 if it is missing, with .9999 if it's above .9999, and with .0001 if it's below .0001. Then lag RIO by 6 months.  Keep only stocks with size > 20th percentile across exchcd == 1 or 2.  Define MB as market cap / (ceq + txditc), where txditc = 0 if missing, and MB is replaced with missing if ceq < 0.  Then sort into quintiles based on the lagged RIO, and sort into quintiles based on MB.  Finally, let RIO\_MB = lagged RIO quintile if the MB quintile = 5."
RIO_Turnover,Nagel,2005,Inst Own and Turnover,JF,"Follow RIO\_MB, except define turnover as vol/shrout.  Let RIO\_Turnover = lagged RIO quintile if the Volatility quintile == 5"
RIO_Volatility,Nagel,2005,Inst Own and Idio Vol,JF,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5"
roaq,"Balakrishnan, Bartov and Faurel",2010,Return on assets (qtrly),JAE,Quarterly net income (ibq) divided by lagged total assets (atq).
sfe,"Elgers, Lo and Pfeiffer",2001,Earnings Forecast to price,AR,"Median estimate for next year eps (fpi = 1) in March, divided by stock price from December.  Dec fiscal year ends only, keep only forecasts more than 90 days out.  Keep only below median analyst coverage each month."
ShareIss1Y,Pontiff and Woodgate,2008,Share issuance (1 year),JF,Growth in number of shares between t-18 and t-6. Number of shares is calculated as shrout/cfacshr to adjust for splits.
ShareIss5Y,Daniel and Titman,2006,Share issuance (5 year),JF,5-year growth in number of shares. Number of shares is calculated as shrout/cfacshr to adjust for splits.
ShareVol,"Datar, Naik and Radcliffe",1998,Share Volume,JFM,"Let tempvol = sum of monthly share trading volume (vol) over the previous three months, scaled by 3 times common shares outstanding (shrout).  Let ShareVol = 1 if tempvol > 10%, and ShareVol = 0 if tempvol < 5%."
Size,Banz,1981,Size,JFE,Log of monthly market value of equity (abs(prc)*shrout)).
SmileSlope,Yan,2011,Put volatility minus call volatility,JFE,"Using OptionMetrics's daily volatility surfaces (vsurfd), keep last observation each month, delta = 0.50 or -0.50, and days to expiration = 30.  The signal is then the difference between put implied vol and call implied vol."
std_turn,"Chordia, Subra, Anshuman",2001,Share turnover volatility,JFE,Standard deviation of turnover (vol/shrout) over the past 36 months.
STreversal,Jegadeesh,1989,Short term reversal,JF,Stock return (ret) over the previous month.
SurpriseRD,"Eberhart, Maxwell and Siddique",2004,Unexpected R&D increase,JF,"Binary variable equal to 1 if: R&D (xrd) scaled by revenue (revt) is positive, R&D scaled by total assets (at) is positive, annual R&D growth is greater than 5%, annual growth in R&D over total assets is greater than 5%. SurpriseRD is 0 otherwise."
tang,Hahn and Lee,2009,Tangibility,JF,"Cash and short-term investments (che) plus .715*receivables (rect) + .547*inventory (invt) + .535* property, plant and equipment (ppent), scaled by total assets (at). Only defined for manufacturing firms (SIC $\geq$ 2000 and SIC <4000). Exclude the lowest tercile of manufacturing firms by total assets."
Tax,Lev and Nissim,2004,Taxable income to income,AR,"Ratio of Taxes paid and tax share of net income. Numerator is defined as the sum of foreign (txfo) and federal (txfed) income taxes. If either one is missing, numerator is defined as total taxes (txt) minus deferred taxes (txdi). Denominator is the product of the prevailing tax rate and net income (ib). Tax rate is .48 before 1979, .46 from 1979 to 1986, .4 in 1987, .34 between 1988 and 1992 and .35 from 1993 onwards. If net income is negative, and the numerator is positive, tax is defined as 1. Exclude if price less than 5."
TotalAccruals,Richardson et al.,2005,Total accruals,JAE,"Before 1988: Change in net working capital ((act - che) - (lct - dlc)) plus change in net noncurrent assets ( (at - act - ivao) - (lt - dlc - dltt)) plus change in net financial assets ( (ivst + ivao - (dltt + dlc + pstk)). Starting in 1988: net income (ni) minus total, operating and investment cashflows (oancf, ivncf, fincf) plus stock sales minus repurchases and dividends (sstk, prstkc, dv)). Scaled by lagged total assets (at). Replace missings in ivao, ivst, dltt, dlc, pstk sstk, prstkc, dv with 0."
TrendFactor,"Han, Zhou, Zhu",2016,Trend Factor,JFE,See paper section 2.1 and 2.2
VolSD,"Chordia, Subra, Anshuman",2001,Volume Variance,JFE,Rolling standard deviation of monthly trading volume (vol) over the past 36 months (require at least 24 observations). Include only NYSE stocks.
XFIN,"Bradshaw, Richardson, Sloan",2006,Net external financing,JAE,Sale of common stock (sstk) minus dividends (dv) minus purchase of common stock (prstkc) plus long-term debt issuance (dltis) minus long-term debt reductions (dltr). Scaled by total assets (at).
zerotrade,Liu,2006,Days with zero trades,JFE,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Zerotrade is the 6-month average of that variable."
zerotradeAlt1,Liu,2006,Days with zero trades,JFE,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Take 1-month average."
zerotradeAlt12,Liu,2006,Days with zero trades,JFE,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Take 12-month average."
Activism2,Cremers and Nair,2005,Active shareholders,JF,"Institiutional ownership share (maxinstown\_perc) if share greater than 5 percent.  Set to missing if G is missing, or if dual share class, or if 24 minus Governance index (G) is less than 19."
AdExp,"Chan, Lakonishok and Sougiannis",2001,Advertising Expense,JF,Advertising expense (xad) over market value of equity (shrout*abs(prc))
AgeIPO,Ritter,1991,IPO and age,JF,Age is  (current year -  founding year from Jay Ritter's dataset). Exclude if IndIPO == 0.
AnalystValue,Frankel and Lee,1998,Analyst Value,JAE,"Value based on a three-stage dividend discount model and analyst forecasts, scaled by market value.  See code for details."
AOP,Frankel and Lee,1998,Analyst Optimism,JAE,"AnalystValue (defined above) minus IntrinsicValue (defined above), divided by abs(IntrinsicValue)."
Beta,Fama and MacBeth,1973,CAPM beta,JPE,Coefficient of a 60-month rolling window regression of monthly stock returns minus the riskfree rate on market return minus the risk free rate (ewretd - rf). Exclude if estimate based on less than 20 months of returns.
BetaFP,Frazzini and Pedersen,2014,Frazzini-Pedersen Beta,JFE,"Using daily data, call tempRi the sum of today's return and the past 2 days, call tempRm the sum of today's mkt return and the past 2 days mkt return.  Regress return on tempRi and tempRm using past 5 years of data, with a minimum of 3 years.  BetaFP is the square root of the r square from this regression times the ratio of the idiosyncratic stock vol and the market vol."
BidAskSpread,Amihud and Mendelsohn,1986,Bid-ask spread,JFE,Effective bid ask spread based on Corwin-Schulz scaled by stock price.
BrandInvest,"Belo, Lin and Vitorino",2014,Brand capital investment,RED,"Advertising expenses (xad) divided by BrandCapital. Brand capital is computed by the perpetual inventory method. In the first year, brand capital is advertising expense divided by (.5 + .1). In subsequent years, we let brand capital depreciate with a rate of .5 and add current advertising expenses. Brand capital is scaled by total assets (at). Set to missing if advertising expense is missing.  Drop if 1st digit of sic = 4 or 6, and keep only Dec fiscal year ends."
ConsRecomm,Barber et al.,2002,Consensus Recommendation,JF,"Binary variable if the monthly mean of recommendations (ireccd) over analysts is greater than 3, and 0 if it is less or equal than 1.5."
Coskewness,Harvey and Siddique,2000,Coskewness,JF,"Signal is the sample counterpart of $E[\tilde{r}_{it} \tilde{r}_{mt}^2]/( SD[\tilde{r}_{it} ] SD[\tilde{r}_{mt}]^2$ where $\tilde{r}_{it}$ is the de-meaned stock excess return and $\tilde{r}_{mt}$ is the de-meaned market excess return.  Signal is computed using the past 60 months of monthly data, and using the NYSE/AMEX CRSP VW index for the market (msic).  See code for details."
DebtIssuance,Spiess and Affleck-Graves,1999,Debt Issuance,JFE,Equal to 1 if debt issuance (dltis) greater 0 and 0 otherwise. Exclude if share code > 11 or missing book-to-market.
DelDRC,Prakash and Sinha,2012,Deferred Revenue,CAR,"Annual change in deferred revenue (drc) scaled by average total assets (at) in t-1 and t. Exclude if negative book equity (ceq), deferred revenue equal to 0 in both years, revenue less than 5m, or SIC code between 6000 and 6999."
DownRecomm,Barber et al.,2002,Down forecast EPS,JF,"Keep fpi = 1.  Binary variable equal to 1 if mean analyst earnings forecast for the next quarter (meanest) has improved over the previous month, and 0 otherwise."
FirmAge,Barry and Brown,1984,Firm age based on CRSP,JFE,Months since start of CRSP coverage.
FR,Franzoni and Marin,2006,Pension Funding Status,JF,"FR = (FVPA - PBO), scaled by market value of equity. FVPA is pbnaa from 1980 to 1986, pplao + pplao from 1987 to 1997, and pplao after 1997. PBO is pbnvv from 1980 to 1986, pbpro + pbpru from 1987 to 1997, and pbpro after 1997. Exclude if price less than 5 or  shrcd > 11."
GrLTNOA,"Fairfield, Whisenant and Yohn",2003,Growth in long term operating assets,AR,"Annual growth in net operating assets, minus accruals. Net operating assets are (rect + invt + ppent + aco + intan + ao- ap- lco- lo) / at. Accruals are ( rect-l12.rect + invt - l12.invt + aco - l12.aco - (ap - l12.ap + lco - l12.lco) - dp ) / ((at + l12.at)/2)"
GrSaleToGrInv,Abarbanell and Bushee,1998,Sales growth over inventory growth,AR,"Percentage growth in sales (sale) relative to average sales of t-1 and t-2, minus percentage growth in inventory (invt) relative to average inventory of t-1 and t-2. Both growth terms are calculated relative to t-1 only if t-2 is missing."
GrSaleToGrOverhead,Abarbanell and Bushee,1998,Sales growth over overhead growth,AR,"GrSaleToGrOverHead = Percentage growth in sales (sale) relative to average sales of t-1 and t-2, minus percentage growth in administrative expenses (xsga) relative to average administrative expenses of t-1 and t-2. Both growth terms are calculated relative to t-1 only if t-2 is missing."
HerfAsset,Hou and Robinson,2006,Industry concentration (assets),JF,"Three-year rolling average of the three digit industry Herfindahl index based on firm assets (at). Exclude regulated industries (4011, 4210, 4213 & year $\leq$ 1980; 4512 & year $\leq$ 1978, 4812, 4813 & year $\leq$ 1982, 4900-4999 in any year)"
High52,George and Hwang,2004,52 week high,JF,Price (prc/cfacshr) divided by the maximum price over the previous 12 months.
IO_ShortInterest,Asquith Pathak and Ritter,2005,Inst own among high short interest,JFE,"Exclude all stocks with short interest (ShortInterest) below 99th percentile. IO\_ShortInterest is institutional ownership (instown\_perc).  Keep NYSE Only.  There may be issues with our use of Compustat Short Interest data, rather than exchange-purchased data used by the OP.  See note for the ShortInterest signal."
MomOffSeason11YrPlus,Heston and Sadka,2008,Off season reversal years 11 to 15,JFE,Average return in other months over the preceding 11-15 years.
MRreversal,De Bondt and Thaler,1985,Medium-run reversal,JF,Stock return between months t-18 and t-13.
NumEarnIncrease,Loh and Warachka,2012,Earnings streak length,MS,"Number if consecutive 4-quarter increases in ibq, up to 8."
OperProf,Fama and French,2006,operating profits / book equity,JFE,"Revenue (revt) minus cost (cogs) - administrative expenses (xsga) - interest expenses (xint), scaled by book value of equity (ceq). Exclude smallest size tercile."
OperProfRD,Ball et al.,2016,Operating profitability R&D adjusted,JFE,"Revenue (revt) minus cost (cogs) - (administrative expenses (xsga) - R&D expenses (xrd)), all divided by total assets (at) in year t. Replace all variables in the numerator with 0 if they are missing. Exclude if share code is greater 11, market value of equity, BM or total assets are missing, or if SIC code between 6000 and 6999."
OptionVolume2,Johnson and So,2012,Option volume to average,JFE,Based off of OptionVolume1.  OptionVolume2 = OptionVolume1 / average of OptionVolume1 from months t-6 to t-1.
PredictedFE,Frankel and Lee,1998,Predicted Analyst forecast error,JAE,"The fitted value from cross-sectional regressions of analyst earnings' forecast errors on cross-sectional rankings of 5-year sales growth, book-to-market, AOP, and analyst long term growth.  See code for details."
PriceDelaySlope,Hou and Moskowitz,2005,Price delay coeff,RFS,"Each July regress daily stock return (ret) on market return (mktrf) in $t, t-1, \ldots, t-4$ with observations over the previous year. Define PriceDelaySlope as the ratio of ]1*beta on mktrf$_t-1$ + 2*beta on mktrf$_t-2$ + 3*beta on mktrf$_t-3$ + 4*beta on mktrf$_t-4$], and [beta on mktrf$_t$ + beta on mktrf$_t-1$ + beta on mktrf$_t-2$ + beta on mktrf$_t-3$ + beta on mktrf$_t-4$]."
PriceDelayTstat,Hou and Moskowitz,2005,Price delay SE adjusted,RFS,"Each July regress daily stock return (ret) on market return (mktrf) in $t, t-1, \ldots, t-4$ using observations from July 1 of the previous year to June 30 of the current year.  Trim the highest and lowest 1% of estimated coefficients, standard errors, and t-stats. Define PriceDelayTstat as the ratio of [1*tstat on mktrf$_t-1$ + 2*tstat on mktrf$_t-2$ + 3*tstat on mktrf$_t-3$ + 4*tstat on mktrf$_t-4$], and [tstat on mktrf$_t$ + tstat on mktrf$_t-1$ + tstat on mktrf$_t-2$ + tstat on mktrf$_t-3$ + tstat on mktrf$_t-4$].   Finally winsor the extreme 10 and 90 percentiles each month."
ProbInformedTrading,"Easley, Hvidkjaer and O'Hara",2002,Probability of Informed Trading,JF,Downloaded from Soren Hvidkjaer's website: \url{https://sites.google.com/site/hvidkjaer/data}.  Drop if in below median ME.
realestate,Tuzel,2010,Real estate holdings,RFS,"Industry-adjusted value of real estate holdings. Real estate holdings are (fatb+fatl)/ppegt if available, and (ppenb+ppenl)/ppent otherwise.  Drop firms in 2 digit sics with < 5 firm or missing at or missing both ppent and ppegt. Subtract monthly industry-mean at the 2 digit SIC level."
RoE,Haugen and Baker,1996,net income / book equity,JFE,Net income (ni) over book value of equity (ceq). Exclude if price less than 5.
ShareRepurchase,"Ikenberry, Lakonishok, Vermaelen",1995,Share repurchases,JFE,"Binary variable equal to 1 if stock repurchase indicated in cash flow statement (prstkc > 0), and 0 if prstkc = 0."
ShortInterest,Dechow et al.,2001,Short Interest,JFE,"Short-interest from Compustat (shortint) scaled by shares outstanding (shrout). Short-interest data are available bi-weekly with a four day lag. We use the mid-month observation to make sure data would be available in real time.  OP uses Asquith and Meulbroek's database, which covers all of NYSE and AMEX.  We're unsure of the quality of our Compustat data, especially since it is missing many values pre-2003.  However, the missing pre-2003 is mostly NASDAQ.  According to Rapach, Ringgenberg, and Zhou 2016, Compustat added the short interest to their dataset in 2014.  "
sinAlgo,Hong and Kacperczyk,2009,Sin Stock (selection criteria),JFE,"Using Compustat Segment data, sinAlgo is defined as a binary variable equal to 1 if at least one segment of a firm is listed as being in at least one of the following industries: sic $\geq$ 2100 & sic $\leq$ 2199, sic $\geq$2080 & sic $\leq$ 2085, NAICS in \{7132, 71312, 713210, 71329, 713290, 72112, 721120\}. As in the original paper, we assume that the sin stock indicator applies to the entire history and future of the identified firm. sinAlgo is equal to 0 if the firm is not identified in the CS Segment data as a sin stock and if the firm is in one of the following industries: (sic $\geq$ 2000 & sic $\leq$ 2046) OR (sic $\geq$ 2050 & sic $\leq$ 2063) OR (sic $\geq$ 2070 & sic $\leq$ 2079) OR (sic $\geq$ 2090 & sic $\leq$ 2092) OR (sic $\geq$ 2095 & sic $\leq$ 2099) OR (sic $\geq$ 2064 & sic $\leq$ 2068) OR (sic $\geq$ 2086 & sic $\leq$ 2087) OR (sic $\geq$  920 & sic $\leq$  999) OR (sic $\geq$ 3650 & sic $\leq$ 3652) OR sic == 3732 OR  (sic $\geq$ 3931 & sic $\leq$ 3932) OR (sic $\geq$ 3940 & sic $\leq$ 3949) OR
 (sic $\geq$ 7800 & sic $\leq$ 7833) OR (sic $\geq$ 7840 & sic $\leq$ 7841) OR
 (sic $\geq$ 7900 & sic $\leq$ 7911) OR (sic $\geq$ 7920 & sic $\leq$ 7933) OR
(sic $\geq$ 7940 & sic $\leq$ 7949) OR sic $==$ 7980 OR (sic $\geq$ 7990 & sic $\leq$ 7999)"
skew1,"Xing, Zhang and Zhao",2010,Volatility smirk near the money,JFQA,"Using OptionMetrics data, among options with duration between 10 and 60 days, implied volatility of put option with moneyness closest to but above 1 minus implied volatility of call option with moneyness closest to but below 1.  Keep only volume > 0, implied vol between 0.03 and 2.0, price > 0.125, open interest > 0."
SP,"Barbee, Mukherji and Raines",1996,Sales-to-price,FAJ,Ratio of annual sales (sale) to market value of equity.
Spinoff,"Cusatis, Miles and Woolridge",1993,Spinoffs,JFE,Spinoffs are identified as all observations in the CRSP acquisition file with valid acperm entry. Spinoff is a binary variable equal to 1 if a firm is identified in the CRSP Acquisition data and if it has at most two years of history in the CRSP stock return data. Spinoff is equal to 0 otherwise.
UpRecomm,Barber et al.,2002,Up Forecast,JF,Keep fpi = 1.  Binary variable equal to 1 if mean earnings forecast (meanest) decreased over the past month.
VarCF,Haugen and Baker,1996,Cash-flow  to price variance,JFE,Rolling variance of (ib+dp)/mve\_c over the past 60 months (minimum 24 months data required).
VolMkt,Haugen and Baker,1996,Volume to market equity,JFE,"Average monthly dollar trading volume (vol*abs(prc)) over the previous 12 months, scaled by market value of equity. Exclude if price less than 5."
VolumeTrend,Haugen and Baker,1996,Volume Trend,JFE,Rolling coefficient from regressing monthly trading volume on a linear time trend over a window of 60 months (require that at least 30 exist). Scale coefficient by 60-month average of trading volume.
BetaBDLeverage,"Adrian, Etula and Muir",2014,Broker-Dealer Leverage Beta,JF,Regress quarterly stock return minus 3 month treasury bill rate (tbillrate3m) on broker dealer leverage. Use a rolling window of 40 quarters (require at least 20 non-missing observations). BetaBDLeverage is the coefficient on broker-dealer leverage. Broker-dealer leverage is the seasonally adjusted ratio of assets (FRED series BOGZ1FL664090005Q) and liabilities (FRED series BOGZ1FL664190005Q).
BetaSquared,Fama and MacBeth,1973,CAPM beta squred,JPE,Square of Beta (defined above).
BidAskTAQ,Hou and Loh,2016,Bid-ask spread (TAQ),JFE,TAQ-based trading costs estimates (SAS code).
DelayAcct,"Callen, Khan and Lu",2013,Accounting component of price delay,CAR,"Monthly cross-sectional regression of PriceDelay on AccrualQuality, special items (si) scaled by average total assets (at) and earnings surprise (meanest - actual) scaled by its cross-sectional standard deviation. DelayAcct is the predicted value from that regression."
DelayNonAcct,"Callen, Khan and Lu",2013,Non-accounting component of price delay,CAR,"Monthly cross-sectional regression of PriceDelay on AccrualQuality, special items (si) scaled by average total assets (at) and earnings surprise (meanest - actual) scaled by its cross-sectional standard deviation. DelayNonAcct is the residual  from that regression."
DelSTI,Richardson et al.,2005,Change in short-term investment,JAE,Difference of the current and one-year lagged short-term investments (ivst) scaled by the mean of current and one-year lagged total assets (at).
DownsideBeta,"Ang, Chen and Xing",2006,Downside beta,RFS,Beta of Daily stock return (ret - rf) regressed on market return (mktrf) for days for which the market return was less than the average market return over the previous year. Rolling window of 252 trading days with at least 50 observations.
FailureProbability,"Campbell, Hilscher and Szilagyi",2008,Failure probability,JF,"Failure probability is -9.16 -.058*PRICE + .075*MB - 2.13*CASHMTA -.045*RSIZE + 1.41*IdioRisk - 7.13*EXRETAVG + 1.42*TLMTA - 20.26*NIMTAAVG. PRICE is log(min(abs(prc), 15)); MB is shrout*abs(prc)/ceqq; CASHMTA is cheq/(shrout*abs(prc) + ltq); RSIZE is log(shrout*abs(prc)/ sum of shrout*abs(prc) for the largest 500 companies each month); IdioRisk is defined above, EXRETAVG is the weighted average excess return (log(1 + ret) - log(1 + mktrf)) over the previous 12 months, with weight on month t-j being $\phi^j$ and the sum scaled by $\frac{1-\phi}{1-\phi^{12}}$; TLMTA is total liabilities (ltq/(shrout*abs(prc)); NIMTAAVG is a weighted average of net income over total assets (ibq/(shrout*abs(prc) + ltq)) over four quarters, with weight $\phi^q$ on quarter $t-q$ and the sum scaled by $\frac{1-\phi^3}{1-\phi^{12}}$. $\phi = 2^{-\frac{1}{3}}$. All input variables are winsorized at the 5th and 95th percentile. Exclude if price less than 1."
ForecastDispersionLT,"Anderson, Ghysels, and Juergens",2005,Long-term forecast dispersion,RFS,Standard deviation of earnings estimates (stdev\_est) scaled by mean earnings estimate.  Keep if ME is in the top 500 for the month to approximate S&P 500.
KZ,"Lamont, Polk and Saa-Requejo",2001,Kaplan Zingales index,RFS,-1.002* (net income (ni) + depreciation (dp))/total assets (at) + .283*(total assets (at) + market value of equity - book value of equity (ceq) - deferred taxes (txdi))/total assets (at) + 3.319*(debt in current liabilities (dlc) + long-term debt (dltt))/(debt in current liabilities + long-term debt + book value of equity) - 39.368*(Dividends (divamt)/total assets) - 1.315*(cash and short-term investments (che)/total assets). Replace txdi and divamt with 0 if missing.
rd_sale,"Chan, Lakonishok and Sougiannis",2001,R&D to sales,JF,One year lagged R&D (xrd) divided by one year lagged sales (sale).
